boroughcode,taxblock,taxlot,bbl,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,commercialoverlay1,commercialoverlay2,specialdistrict1,specialdistrict2,specialdistrict3,limitedheightdistrict,mihflag,mihoption,zoningmapnumber,zoningmapcode,area,inzonechange,bblprev,zd1prev,zd2prev,zd3prev,zd4prev,co1prev,co2prev,sd1prev,sd2prev,sd3prev,lhdprev,zmnprev,zmcprev,geom
2,5439,32,2054390032,R3A,,,,,,,,,,,,7C,,317.201264336705,,2054390032,R3A,,,,C1-2,,,,,,7C,,0106000020E610000001000000010300000001000000050000008A21E8686C7452C0F976CE9D7B6944402F90C3EC717452C0B6D8B0DF786944402B7EEF93727452C0CCD704D57B6944404ADFD8046D7452C01560BA987E6944408A21E8686C7452C0F976CE9D7B694440
4,1740,47,4017400047,R5A,R5,,,,,,,,,,,9D,,237.916415415471,,4017400047,R5A,,,,,,,,,,9D,,0106000020E610000001000000010300000001000000060000002CC2B0C9907752C079FEE7CA6B6044402ED0964B907752C0409E67B2696044407D8A57CE957752C0462506C066604440A8BB6852967752C0C99C21F268604440FD68B4CF907752C00C937BE46B6044402CC2B0C9907752C079FEE7CA6B604440
4,12028,10,4120280010,R5D,R3A,,,C1-3,,,,,,,,18C,,208.875717850402,,4120280010,R5D,,,,C1-3,,,,,,18C,,0106000020E610000001000000010300000001000000050000007A6E5B37AD7252C0803CBA8EF05644406144F451B37252C034FD621CED56444022C0ADBCB37252C038059ED1EE564440FC43448CAD7252C0C38B4A50F25644407A6E5B37AD7252C0803CBA8EF0564440
4,12439,14,4124390014,R5D,,,,C1-3,,,,,,,,19A,,216.945348754525,,4124390014,R5D,R3-2,,,C1-3,,,,,,19A,,0106000020E61000000100000001030000000100000005000000CA0C7D6EF77052C037F4DCA7905844408DE20053F87052C0A49104DF885844409C4B32DEF97052C0D177444F8958444020CFAEF9F87052C0B2F21C1891584440CA0C7D6EF77052C037F4DCA790584440
2,5439,77,2054390077,R3A,,,,,,,,,,,,7C,,193.239043917507,,2054390077,R3A,,,,C1-2,,,,,,7C,,0106000020E6100000010000000103000000010000000700000053FF2D28657452C0C89ABE9751694440920673F1647452C0232DD08C50694440E56287E1647452C09FE55894506944409E9835D4637452C00C82E4724B6944400F453A27677452C063A475854D6944406383F4F0657452C02A058D185269444053FF2D28657452C0C89ABE9751694440
3,170,46,3001700046,R6B,C6-1,,,,,DB,,,,,,16C,,180.77209725976,,3001700046,R6B,,,,,,DB,,,,16C,,0106000020E610000001000000010300000001000000050000006B223C06307F52C07DFE63EC29584440F6C28401317F52C0A6DBB7AF2A584440CD9239302E7F52C0FE2D680733584440E4C3F0342D7F52C006201444325844406B223C06307F52C07DFE63EC29584440
1,825,1,1008250001,C6-3A,M1-6,C6-4X,,,,,,,,,,8D,,2245.38043619692,,1008250001,C6-3A,C6-4X,M1-6,,,,,,,,8D,,0106000020E6100000010000000103000000010000000A000000780988C3767F52C0D32D0822215F4440F50F9FC0797F52C03331BFEF185F4440C54D4EC87A7F52C0D90F0FCC195F44407ACA900D7C7F52C034ABCADB1A5F4440F8ECB8197F7F52C083252D80125F444008591952867F52C0DFD56D88185F4440FD78F245837F52C03FCE0EE4205F4440D3DB82677E7F52C08B12B3D21C5F4440C0A5DE687B7F52C004924109255F4440780988C3767F52C0D32D0822215F4440
3,7964,40,3079640040,R5B,C8-1,,,,,,,,,,,23A,,212.399100117385,,3079640040,C8-1,R5B,,,,,,,,,23A,,0106000020E61000000100000001030000000100000005000000210601E4837A52C0A7C457D542524440B4D99365887A52C066AFA8F43C524440A40C0244897A52C052B729843E524440E3F051C2847A52C02581056544524440210601E4837A52C0A7C457D542524440
4,10314,37,4103140037,R2,R3-2,,,,,,,,,,,19A,,645.489563778043,,4103140037,R2,,,,,,,,,,19A,,0106000020E61000000100000001030000000100000006000000478049511D7152C095B52DEDAF58444075F3330C227152C03B3949A9AA584440D0191F9E227152C06F27FED7AB584440367E967E247152C0B9B0B0BCAF5844409F3AD2C11F7152C01411A202B5584440478049511D7152C095B52DEDAF584440
2,2888,37,2028880037,R7-1,M1-1,,,,,,,,,,,3D,,114.932048581541,,2028880037,M1-1,R7-1,,,,,,,,,3D,,0106000020E6100000010000000103000000010000000500000051692E4DDE7952C051BA6F86EA6B4440F60285AFDF7952C0EF6B8EA3E46B44409EE4E599E07952C0DE3707FDE46B4440F3122961DF7952C0C17F0E1BEB6B444051692E4DDE7952C051BA6F86EA6B4440
