boroughcode,taxblock,taxlot,bbl,zoningdistrict1,zoningdistrict2,zoningdistrict3,zoningdistrict4,commercialoverlay1,commercialoverlay2,specialdistrict1,specialdistrict2,specialdistrict3,limitedheightdistrict,mihflag,mihoption,zoningmapnumber,zoningmapcode,area,inzonechange,bblprev,zd1prev,zd2prev,zd3prev,zd4prev,co1prev,co2prev,sd1prev,sd2prev,sd3prev,lhdprev,zmnprev,zmcprev,geom
2,4888,5,2048880005,R5,,,,,,,,,,,,2B,,256.42353476584,,2048880005,R5,C8-1,,,,,,,,,2B,,0106000020E610000001000000010300000001000000050000003D6EF268FA7552C07B34116298704440A6043E56FD7552C09BBA9D6E9070444028604DBFFE7552C08B0A34A0917044403FC000D2FB7552C0CFEDA393997044403D6EF268FA7552C07B34116298704440
2,5439,48,2054390048,R3A,,,,,,,,,,,,7C,,224.809930995107,,2054390048,R3A,,,,C1-2,,,,,,7C,,0106000020E6100000010000000103000000010000000500000021F69FA1657452C0D58D118F5A6944405412D6AD6A7452C068C5730C58694440E5805F2F6B7452C08E8B54575A694440C6D6CF1A667452C07A2D19DE5C69444021F69FA1657452C0D58D118F5A694440
1,1121,104,1011210104,C1-8A,,,,,,,,,,,,8C,,194.548882231116,,1011210104,C1-8A,R8B,,,,,,,,,8C,,0106000020E610000001000000010300000001000000060000004F9E269EB77E52C0E5D0DB083263444052358053B77E52C04EF5F7C931634440131AB44EBA7E52C053303DA329634440BD992B5ABB7E52C098009B842A634440C09CF65EB87E52C0350D54AB326344404F9E269EB77E52C0E5D0DB0832634440
2,5439,38,2054390038,R3A,,,,,,,,,,,,7C,,224.616950839758,,2054390038,R3A,,,,C1-2,,,,,,7C,,0106000020E61000000100000001030000000100000005000000524F1F3C6A7452C0DF817E02716944403ED681C9697452C0F29485D36E6944402635121F6F7452C00FDC6C2C6C6944401E9F96996F7452C090A576576E694440524F1F3C6A7452C0DF817E0271694440
2,5439,46,2054390046,R3A,,,,,,,,,,,,7C,,210.184903591871,,2054390046,R3A,,,,C1-2,,,,,,7C,,0106000020E6100000010000000103000000010000000500000004881283667452C0C590C0DA5E6944409F96DA9E6B7452C0635D61505C69444004F58A166C7452C0F168956E5E6944400F797CF2667452C064F90DFD6069444004881283667452C0C590C0DA5E694440
4,12674,41,4126740041,R3A,R2,,,,,,,,,,,19A,,413.043788895011,,4126740041,R3A,,,,,,,,,,19A,,0106000020E61000000100000001030000000100000007000000FEC4B918557052C093826FAAD25744403B9D8F5A557052C03B36C56AD2574440DA596BEC597052C067CF6DFFCD57444033B49A215A7052C0000800CCCD574440A3ED87695B7052C0739D5ADED157444028E04014567052C09E17F5C9D5574440FEC4B918557052C093826FAAD2574440
4,12678,101,4126780101,R2,R3A,,,,,,,,,,,19A,,350.233301848173,,4126780101,R2,,,,,,,,,,19A,,0106000020E61000000100000001030000000100000006000000E92EC7573B7052C0E79AF270E85744400FADB5F03A7052C0F93A9227E757444028936700407052C073A41E70E357444069FA20E5407052C08A0B1646E6574440F80891103C7052C08DD472BFEA574440E92EC7573B7052C0E79AF270E8574440
1,1122,104,1011220104,C1-8A,,,,,,,,,,,,8C,,174.038031622767,,1011220104,C1-8A,R8B,,,,,,,,,8C,,0106000020E6100000010000000103000000010000000500000031121DCDAF7E52C092BDA5594663444010E926C7B27E52C0A3387C3A3E63444005EE0DB7B37E52C03F4F1B053F634440028505BDB07E52C081E348244763444031121DCDAF7E52C092BDA55946634440
4,9109,29,4091090029,R6B,,,,C2-3,,,,,,,,18A,,247.88590464741,,4091090029,R6B,R4-1,,,C2-3,,,,,,18A,,0106000020E6100000010000000103000000010000000B00000006BEF517607652C06D323D8912574440B4CCD143617652C04510D6DA11574440239D6581617652C020A1DED712574440450342AA627652C02D07362B125744403DAF7729637652C000E0F335145744408D8FC5A55D7652C09BFE0B6B17574440236E7F535D7652C031F8F31816574440A6E88E265D7652C093F44D6015574440C2E8E2335E7652C0E08CA4C31457444068CB8A55607652C029B847861357444006BEF517607652C06D323D8912574440
2,4738,61,2047380061,R5,C4-2,,,,,,,,,,,2B,,228.824872987345,,2047380061,C4-2,R5,,,,,,,,,2B,,0106000020E6100000010000000103000000010000000600000031FE93343B7652C07EE7B8E11D704440619B15253B7652C0ECD73FA81D704440DBCC02CA407652C037AA572B1A704440E232E453417652C03AE64B291C7044403B51A1AE3B7652C0B74568A61F70444031FE93343B7652C07EE7B8E11D704440
2,5439,24,2054390024,R3A,,,,,,,,,,,,7C,,294.505717970431,,2054390024,R3A,,,,C1-2,,,,,,7C,,0106000020E610000001000000010300000001000000050000000906861B727452C0F7554EBF836944401CFB611B747452C0D99565C182694440DF90E891757452C0E6A67F178A6944402E2A6BC8737452C04B3324E98B6944400906861B727452C0F7554EBF83694440
2,5439,76,2054390076,R3A,,,,,,,,,,,,7C,,174.94297414273,,2054390076,R3A,,,,C1-2,,,,,,7C,,0106000020E61000000100000001030000000100000008000000D4CAB133647452C0559E73965369444020579670657452C0E98FDAF85269444053FF2D28657452C0C89ABE97516944406383F4F0657452C02A058D18526944401B0EE774687452C03CE1ECB7536944408F49DF41687452C0C4BEA2745469444065CF19BD647452C0D27B993456694440D4CAB133647452C0559E739653694440
4,9556,41,4095560041,R4-1,,,,C2-3,,,,,,,,18A,,165.436846667901,,4095560041,R4-1,R6A,,,C2-3,,,,,,18A,,0106000020E610000001000000010300000001000000050000008E9FE220CF7452C0302D8FF6DD574440854D9B70CA7452C03217439FE057444062082901CA7452C0C251D6D9DE5744408B2370B1CE7452C0CA8B2231DC5744408E9FE220CF7452C0302D8FF6DD574440
3,7965,40,3079650040,C8-1,R5B,,,,,,,,,,,23A,,177.914515830576,,3079650040,C8-1,,,,,,,,,,23A,,0106000020E61000000100000001030000000100000006000000F4B09942797A52C0BEE2479051524440F13638077D7A52C02A0B44A54C524440926869D17D7A52C04CA97E114E524440761EB4CC797A52C080CC26505352444048963602797A52C0C27B6A0853524440F4B09942797A52C0BEE2479051524440
2,5439,42,2054390042,R3A,,,,,,,,,,,,7C,,425.686270236969,,2054390042,R3A,,,,C1-2,,,,,,7C,,0106000020E61000000100000001030000000100000005000000A9C7FEB8687452C0945681A269694440D2F1D6DA677452C0609B1867656944401C1B4C0E6D7452C06BACF5D06269444078ADC3FB6D7452C0CC81C10467694440A9C7FEB8687452C0945681A269694440
1,1141,18,1011410018,R8B,,,,,,,,,,,,8C,,142.298067927361,,1011410018,R8B,C4-6A,,,,,,,,,8C,,0106000020E610000001000000010300000001000000050000002F9C6460CE7E52C01DF65BAD5F6344404D437197CD7E52C06D7995045F63444043A1BC86D07E52C05F001F1A57634440EB63C04FD17E52C077FDB4C2576344402F9C6460CE7E52C01DF65BAD5F634440
4,13515,17,4135150017,R4B,R3-1,,,,,,,,,,,19B,,213.379308789968,,4135150017,R4B,,,,,,,,,,19B,,0106000020E610000001000000010300000001000000060000008CF98551BF6F52C08F0281520B554440DA9FE0CEBE6F52C000DDB8F30C554440F1A50DBCBE6F52C07472D62F0D554440161E8364B96F52C05E12215A09554440E567FAF9B96F52C01FD8CB7C075544408CF98551BF6F52C08F0281520B554440
